"posteam","defteam","receiver_player_name","targets","catches","catch_pct","def_stop_rate","adj_catch_pct"
"DET","MIN","A.St. Brown","15","14","0.9333","0.8638","0.8062"
"CHI","GB","D.Moore","17","16","0.9412","0.8356","0.7865"
"CHI","MIN","D.Moore","17","15","0.8824","0.8638","0.7622"
"KC","TB","T.Kelce","16","14","0.8750","0.8473","0.7414"
"NYG","PHI","W.Robinson","15","13","0.8667","0.8433","0.7309"
"CIN","PIT","M.Gesicki","15","13","0.8667","0.8256","0.7155"
"ATL","TB","D.London","19","16","0.8421","0.8473","0.7135"
"NYJ","BUF","G.Wilson","15","13","0.8667","0.8226","0.7129"
"LAC","LV","Q.Johnston","19","16","0.8421","0.8322","0.7008"
"CAR","TB","A.Thielen","16","13","0.8125","0.8473","0.6884"
"LV","MIA","B.Bowers","16","13","0.8125","0.8440","0.6858"
"MIN","CHI","J.Addison","18","15","0.8333","0.8012","0.6676"
"PIT","BAL","G.Pickens","17","13","0.7647","0.8723","0.6670"
"KC","LAC","T.Kelce","15","12","0.8000","0.8292","0.6634"
"KC","HOU","T.Kelce","15","12","0.8000","0.8291","0.6633"
"SF","SEA","J.Jennings","16","13","0.8125","0.8163","0.6632"
"ARI","LA","T.McBride","22","18","0.8182","0.8093","0.6622"
"WAS","PHI","A.Ekeler","17","13","0.7647","0.8433","0.6449"
"NO","ATL","A.Kamara","15","12","0.8000","0.8032","0.6426"
"DET","BUF","A.St. Brown","18","14","0.7778","0.8226","0.6398"
"LV","DEN","J.Meyers","16","12","0.7500","0.8527","0.6395"
"CIN","BAL","J.Chase","29","21","0.7241","0.8723","0.6316"
"NYG","DAL","M.Nabers","15","12","0.8000","0.7881","0.6305"
"HOU","JAX","N.Collins","26","20","0.7692","0.8052","0.6194"
"NYJ","MIA","G.Wilson","15","11","0.7333","0.8440","0.6189"
"PIT","CIN","P.Freiermuth","18","14","0.7778","0.7944","0.6179"
"MIN","GB","J.Jefferson","19","14","0.7368","0.8356","0.6157"
"CIN","DAL","J.Chase","18","14","0.7778","0.7881","0.6130"
