"receiver_player_name","total_targets","total_catches","catch_pct","avg_def_stop_rate","adj_catch"
"D.Achane","87","78","0.8966","1.5568","1.3958"
"C.Brown","65","54","0.8308","1.5716","1.3057"
"P.Freiermuth","82","68","0.8293","1.5674","1.2998"
"B.Robinson","102","85","0.8333","1.5535","1.2945"
"G.Kittle","94","78","0.8298","1.5554","1.2907"
"D.Goedert","72","59","0.8194","1.5537","1.2731"
"A.St. Brown","151","123","0.8146","1.5575","1.2687"
"A.Jones","68","54","0.7941","1.5600","1.2388"
"J.Smith","111","88","0.7928","1.5603","1.2370"
"M.Gesicki","83","65","0.7831","1.5723","1.2313"
"K.Shakir","120","94","0.7833","1.5656","1.2263"
"J.Gibbs","74","58","0.7838","1.5587","1.2217"
"D.Smith","107","84","0.7850","1.5469","1.2143"
"J.Hill","77","60","0.7792","1.5581","1.2141"
"M.Andrews","80","62","0.7750","1.5649","1.2128"
"D.Douglas","87","66","0.7586","1.5648","1.1871"
"A.Kamara","89","68","0.7640","1.5503","1.1844"
"T.McBride","147","111","0.7551","1.5573","1.1759"
"W.Dissly","69","52","0.7536","1.5573","1.1736"
"B.Hall","76","57","0.7500","1.5601","1.1701"
"J.Reed","80","59","0.7375","1.5681","1.1565"
"B.Bowers","153","112","0.7320","1.5646","1.1453"
"S.LaPorta","90","66","0.7333","1.5609","1.1446"
"J.Johnson","68","50","0.7353","1.5538","1.1425"
"C.Okonkwo","71","52","0.7324","1.5585","1.1414"
"J.Chase","175","127","0.7257","1.5706","1.1398"
"T.Kraft","76","55","0.7237","1.5697","1.1360"
"I.Likely","68","49","0.7206","1.5648","1.1276"
"T.Kelce","153","110","0.7190","1.5664","1.1262"
"J.Smith-Njigba","138","100","0.7246","1.5533","1.1255"
"L.McConkey","127","91","0.7165","1.5623","1.1194"
"Z.Ertz","118","84","0.7119","1.5634","1.1130"
"R.McCloud","87","62","0.7126","1.5563","1.1090"
"E.Engram","67","47","0.7015","1.5772","1.1064"
"T.Conklin","73","51","0.6986","1.5625","1.0916"
"N.Collins","115","80","0.6957","1.5640","1.0881"
"P.Nacua","130","90","0.6923","1.5660","1.0841"
